stop_id, stop_name, stop_desc, stop_lat, stop_lon, zone_id, stop_url, wheelchair_boarding
FOXLAKE, Fox Lake, , 42.3983333, -88.1822222, J, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/md-n/station.FOXLAKE.html, 1
INGLESIDE, Ingleside, , 42.3838889, -88.1536111, J, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/md-n/station.INGLESIDE.html, 1
LONGLAKE, Long Lake, , 42.3680556, -88.1280556, J, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/md-n/station.LONGLAKE.html, 1
ROUNDLAKE, Round Lake, , 42.3544444, -88.0941667, I, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/md-n/station.ROUNDLAKE.html, 1
GRAYSLAKE, Grayslake, , 42.3336111, -88.0433333, I, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/md-n/station.GRAYSLAKE.html, 1
LIBERTYVIL, Libertyville, , 42.2911111, -87.9563889, H, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/md-n/station.LIBERTYVIL.html, 1
LAKEFRST, Lake Forest, , 42.2236111, -87.8747222, F, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/md-n/station.LAKEFRST.html, 1
DEERFIELD, Deerfield, , 42.1680556, -87.8500000, E, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/md-n/station.DEERFIELD.html, 1
LAKECOOKRD, Lake-Cook, , 42.1516667, -87.8413889, E, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/md-n/station.LAKECOOKRD.html, 1
NBROOK, Northbrook, , 42.1269444, -87.8277778, E, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/md-n/station.NBROOK.html, 1
NGLENVIEW, Glen/N. Glenview, , 42.0975000, -87.8158333, D, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/md-n/station.NGLENVIEW.html, 1
GLENVIEW, Glenview, , 42.0750000, -87.8055556, D, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/md-n/station.GLENVIEW.html, 1
GOLF, Golf, , 42.0583333, -87.7969444, D, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/md-n/station.GOLF.html, 1
MORTONGRV, Morton Grove, , 42.0350000, -87.7852778, C, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/md-n/station.MORTONGRV.html, 1
EDGEBROOK, Edgebrook, , 41.9977778, -87.7655556, C, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/md-n/station.EDGEBROOK.html, 1
FORESTGLEN, Forest Glen, , 41.9780556, -87.7555556, C, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/md-n/station.FORESTGLEN.html, 0
MAYFAIR, Mayfair, , 41.9597222, -87.7458333, B, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/md-n/station.MAYFAIR.html, 0
GRAYLAND, Grayland, , 41.9488889, -87.7402778, B, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/md-n/station.GRAYLAND.html, 0
HEALY, Healy, , 41.9247222, -87.7277778, B, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/md-n/station.HEALY.html, 1
WESTERNAVE, Western Ave, , 41.8891667, -87.6880556, A, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/md-n/station.WESTERNAVE.html, 1
RAVINIAPK, Ravinia Park, , 42.1580556, -87.7769444, E, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/up-n/station.RAVINIAPK.html, 1
INDIANHILL, Indian Hill, , 42.0944444, -87.7238889, D, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/up-n/station.INDIANHILL.html, 0
KENOSHA, Kenosha, , 42.5858333, -87.8258333, K, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/up-n/station.KENOSHA.html, 1
HARVARD, Harvard, , 42.4197222, -88.6175000, M, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/up-nw/station.HARVARD.html, 1
WOODSTOCK, Woodstock, , 42.3169444, -88.4475000, K, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/up-nw/station.WOODSTOCK.html, 1
CRYSTAL, Crystal Lake, , 42.2441667, -88.3172222, I, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/up-nw/station.CRYSTAL.html, 1
MCHENRY, McHenry, , 42.3433333, -88.2761111, K, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/up-nw/station.MCHENRY.html, 1
CARY, Cary, , 42.2088889, -88.2413889, H, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/up-nw/station.CARY.html, 1
FOXRG, Fox River Grove, , 42.1977778, -88.2194444, H, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/up-nw/station.FOXRG.html, 1
BARRINGTON, Barrington, , 42.1527778, -88.1319444, G, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/up-nw/station.BARRINGTON.html, 1
PALATINE, Palatine, , 42.1130556, -88.0483333, F, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/up-nw/station.PALATINE.html, 1
ARLINGTNPK, Arlington Park, , 42.0952778, -88.0091667, E, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/up-nw/station.ARLINGTNPK.html, 1
ARLINGTNHT, Arlington Heights, , 42.0841667, -87.9836111, E, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/up-nw/station.ARLINGTNHT.html, 1
MTPROSPECT, Mt. Prospect, , 42.0630556, -87.9361111, D, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/up-nw/station.MTPROSPECT.html, 1
CUMBERLAND, Cumberland, , 42.0525000, -87.9122222, D, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/up-nw/station.CUMBERLAND.html, 0
DESPLAINES, Des Plaines, , 42.0408333, -87.8866667, D, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/up-nw/station.DESPLAINES.html, 1
DEEROAD, Dee Road, , 42.0241667, -87.8561111, C, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/up-nw/station.DEEROAD.html, 1
PARKRIDGE, Park Ridge, , 42.0102778, -87.8316667, C, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/up-nw/station.PARKRIDGE.html, 1
IRVINGPK, Irving Park, , 41.9525000, -87.7297222, B, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/up-nw/station.IRVINGPK.html, 1
BIGTIMBER, Big Timber, , 42.0586111, -88.3277778, H, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/md-w/station.BIGTIMBER.html, 1
ELGIN, Elgin, , 42.0361111, -88.2861111, H, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/md-w/station.ELGIN.html, 1
NATIONALS, National St, , 42.0263889, -88.2788889, H, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/md-w/station.NATIONALS.html, 1
HANOVERP, Hanover Park, , 41.9880556, -88.1491667, F, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/md-w/station.HANOVERP.html, 1
SCHAUM, Schaumburg, , 41.9891667, -88.1180556, F, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/md-w/station.SCHAUM.html, 1
ROSELLE, Roselle, , 41.9813889, -88.0672222, E, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/md-w/station.ROSELLE.html, 1
MEDINAH, Medinah, , 41.9780556, -88.0508333, E, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/md-w/station.MEDINAH.html, 1
ITASCA, Itasca, , 41.9713889, -88.0141667, E, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/md-w/station.ITASCA.html, 1
WOODDALE, Wood Dale, , 41.9625000, -87.9752778, D, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/md-w/station.WOODDALE.html, 1
BENSENVIL, Bensenville, , 41.9569444, -87.9419444, D, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/md-w/station.BENSENVIL.html, 1
MANNHEIM, Mannheim, , 41.9416667, -87.8833333, C, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/md-w/station.MANNHEIM.html, 0
FRANKLIN, Franklin Park, , 41.9366667, -87.8663889, C, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/md-w/station.FRANKLIN.html, 1
MONTCLARE, Mont Clare, , 41.9216667, -87.8016667, B, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/md-w/station.MONTCLARE.html, 1
MARS, Mars, , 41.9191667, -87.7944444, B, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/md-w/station.MARS.html, 1
GALEWOOD, Galewood, , 41.9163889, -87.7858333, B, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/md-w/station.GALEWOOD.html, 1
HANSONPK, Hanson Park, , 41.9166667, -87.7669444, B, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/md-w/station.HANSONPK.html, 0
GRAND-CIC, Grand/Cicero, , 41.9144444, -87.7461111, B, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/md-w/station.GRAND-CIC.html, 0
OHARE, O'Hare Transfer, , 41.9950000, -87.8805556, D, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/ncs/station.OHARE.html, 1
PROSPECTHG, Prospect Hts, , 42.0922222, -87.9080556, E, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/ncs/station.PROSPECTHG.html, 1
WHEELING, Wheeling, , 42.1363889, -87.9272222, F, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/ncs/station.WHEELING.html, 1
BUFFGROVE, Buffalo Grove, , 42.1686111, -87.9413889, F, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/ncs/station.BUFFGROVE.html, 1
PRAIRIEVW, Prairie View, , 42.1980556, -87.9558333, G, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/ncs/station.PRAIRIEVW.html, 1
VERNON, Vernon Hills, , 42.2155556, -87.9644444, G, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/ncs/station.VERNON.html, 1
MUNDELEIN, Mundelein, , 42.2669444, -87.9980556, H, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/ncs/station.MUNDELEIN.html, 1
PRAIRCROSS, Prairie Crossing., , 42.3180556, -88.0172222, H, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/md-n/station.PRAIRIEXNG.html, 1
ROUNDLKBCH, Round Lake Beach, , 42.3850000, -88.0655556, J, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/ncs/station.ROUNDLKBCH.html, 1
LAKEVILLA, Lake Villa, , 42.4175000, -88.0794444, J, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/ncs/station.LAKEVILLA.html, 1
ANTIOCH, Antioch, , 42.4811111, -88.0925000, K, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/ncs/station.ANTIOCH.html, 1
NEWLENOX, New Lenox, , 41.5144444, -87.9652778, G, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/ri/station.NEWLENOX.html, 1
MOKENA, Mokena, , 41.5308333, -87.8866667, F, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/ri/station.MOKENA.html, 1
HICKORYCRK, Hickory Creek, , 41.5486111, -87.8455556, F, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/ri/station.HICKORYCRK.html, 1
TINLEY80TH, Tinley-80th, , 41.5644444, -87.8094444, E, http://metrarail.com/metra/en/home/maps_schedules/metra_system_map/ri/station.TINLEY80TH.html, 1
